# В данном файле записывается список необходимых тюнингов в ветке АПР
# Сначала пишется алгоритмическое имя, потом русское описание, между ними знак ";"
# Каждый на отдельной строке
# В файле можно комментировать, используя #, Если тюнинг не нужен, его можно закомментировать
Decline_E; Линия снижения степени сжатия для снятия ограничения
Decline_P; Линия снижения выходного давления для снятия ограничения, МПа
Dv; Относительная плотность газа по воздуху
DZ_APK; Зона нечувствительности АПК, %
DZ_SR; Зона нечувствительности регулирования ограничения по ПЗ, %
K0main; Коэффициент при 0-й степени основной системы координат
K0res1; Коэффициент при 0-й степени 1-й резервной системы координат
K0res2; Коэффициент при 0-й степени 2-й резервной системы координат
K1main; Коэффициент при 1-й степени основной системы координат
K1res1; Коэффициент при 1-й степени 1-й резервной системы координат
K1res2; Коэффициент при 1-й степени 2-й резервной системы координат
K2main; Коэффициент при 2-й степени основной системы координат
K2res1; Коэффициент при 2-й степени 1-й резервной системы координат
K2res2; Коэффициент при 2-й степени 2-й резервной системы координат
Kconf; Коэффициент конфузора нагнетателя
Kp_E; Пропорциональный коэффициент регулирования ограничения по степени сжатия
Kp_Pout; Пропорциональный коэффициент регулирования ограничения по выходному давлению
Kp_SR; Пропорциональный коэффициент регулирования ограничения по помпажному запасу
MaxDropSR; Максимальная скорость падения помпажного запаса, %/с
MaxLowSR; Максимальное снижение ПЗ ниже линии регулирования, %
MaxNstNorm; Максимальные относительные обороты Nст для ГДХ
MaxNstRiseUp; Максимальные обороты СТ при автоматическом подъеме, об/мин
MaxRaisePout; Максимальная скорость роста выходного давления, МПа/с
MaxRatedPconf; Максимальная скорость падения dP на конфузоре, кПа/с
MaxRateNst; Максимальная скорость нарастания Nст, (об/мин)/с
MinNstNorm; Минимальные относительные обороты Nст для ГДХ
Mv; Молярная масса
Nnom; Номинальная Nст, об/мин
Nst_MIN; Минимальные оброты Nст при автоматическом снижении, об/мин
RiseUpZone; Ширина зоны автоматического подъема, % ПЗ
Set_E; Максимальная степень сжатия
Set_Pout; Максимальное давление на выходе Н, МПа
Set_SurgeRes; Минимальный помпажный запас,%
Step1APK_LowSR; Шаг 1 открытия АПК (снижение ПЗ ниже линии ограничения), %
Step1APK_Pout; Шаг 1 открытия АПК (Превышение максимальной скорости роста Рвых), %
Step1APK_SR; Шаг 1 открытия АПК (Превышение максимальной скорости падения ПЗ), %
Step2APK_LowSR; Шаг 2 открытия АПК (снижение ПЗ ниже линии ограничения), %
Step2APK_Pout; Шаг 2 открытия АПК (Превышение максимальной скорости роста Рвых), %
Step2APK_SR; Шаг 2 открытия АПК (Превышение максимальной скорости падения ПЗ), %
Td_E; Дифференциальный коэффициент регулирования ограничения по степени сжатия
Td_Pout; Дифференциальный коэффициент регулирования ограничения по выходному давлению
Td_SR; Дифференциальный коэффициент регулирования ограничения по помпажному запасу
Ti_E; Интегральный коэффициент регулирования ограничения по степени сжатия
Ti_Pout; Интегральный коэффициент регулирования ограничения по выходному давлению
Ti_SR; Интегральный коэффициент регулирования ограничения по помпажному запасу
TimeCloseAuto; Время закрытия АПК в автоматическом режиме, с
TimeCloseRiseUp; Время закрытия АПК в режиме автоматического подъема, с
TimeCloseRU; Время закрытия АПК в режиме РУ, с
TimeCloseTest; Время закрытия в режиме помпажного тестирования, с
TimeOpenAuto; Время открытия АПК в автоматическом режиме, с
TimeOpenRU; Время открытия АПК в режиме РУ, с
UpDZ_E; Мертвая зона регулирования ограничения по степени сжатия (верхнее ограничение)
UpDZ_P; Мертвая зона регулирования ограничения по выходному давлению (верхнее ограничение)
