# Алг.имя_тюнинга;тип(REAL,INT);тег_в_ПЛК;Описание
# sSetWord - особенный, для него заведён отдельный тип и создаётся такой (раскладывается по битам);;;
sNumGPA;INT;sTunings|sNumGPA;Количество ГПА в цеху
sSetWord;INT;sTunings|sSetWord;Слово настроечных параметров цеха
sMainContur;INT;sTunings|sMainContur;Контур по-умолчанию (1 - Рвых, 2 - Рвх, 3 - Ст.сж, 4 - Расход)
sKpDistN;REAL;sTunings|sKpDistN;Кр распределения по мощности
sKpDistSR;REAL;sTunings|sKpDistSR;Кр распределения по ПЗ
sDistrDZ_N;REAL;sTunings|sDistrDZ_N;DZ распределения по мощности
sDistrDZ_SR;REAL;sTunings|sDistrDZ_SR;DZ распределения по ПЗ
sNstMax;REAL;sTunings|sNstMax;Уставка максимальных Nст на ГПА
sNstMin;REAL;sTunings|sNstMin;Уставка минимальных Nст на ГПА
sdNstMaxDist;REAL;sTunings|sdNstMaxDist;Максимальное приращение Nст в режиме распределения
sdNstMinDist;REAL;sTunings|sdNstMinDist;Минимальное приращение Nст в режиме распределения
sdNstTimeDist;REAL;sTunings|sdNstTimeDist;Интервал приращений Nст в режиме распределения
sdNstMaxReg;REAL;sTunings|sdNstMaxReg;Максимальное приращение Nст в режиме регулирования
sdNstMinReg;REAL;sTunings|sdNstMinReg;Минимальное приращение Nст в режиме регулирования
sdNstTimeReg;REAL;sTunings|sdNstTimeReg;Интервал приращений Nст в режиме регулирования
sdNstMaxLim;REAL;sTunings|sdNstMaxLim;Максимальное приращение Nст в режиме ограничения
sdNstMinLim;REAL;sTunings|sdNstMinLim;Минимальное приращение Nст в режиме ограничения
sdNstTimeLim;REAL;sTunings|sdNstTimeLim;Интервал приращений Nст в режиме ограничения
sCv_KHRfunc;REAL;sTunings|sCv_KHRfunc;Характеристика КХР (1-быстрая,2-линейная,3-равнопроц.)
sCv_KHR;REAL;sTunings|sCv_KHR;Расходный коэффициент КХР
sD;REAL;sTunings|sD;Плотность газа по воздуху для расхода через КХР
sDZ_KHR;REAL;sTunings|sDZ_KHR;DZ КХР
sTimeOpenDU;REAL;sTunings|sTimeOpenDU;Время открытия КХР в ручном режиме
sTimeCloseDU;REAL;sTunings|sTimeCloseDU;Время закрытия КХР в ручном режиме
sTimeOpenAuto;REAL;sTunings|sTimeOpenAuto;Время открытия КХР в автоматическом режиме
sTimeCloseAuto;REAL;sTunings|sTimeCloseAuto;Время закрытия КХР в автоматическом режиме
sTimeCloseLoadEND;REAL;sTunings|sTimeCloseLoadEND;Время закрытия КХР в режиме загрузки цеха
sDeltaMaxKHR;REAL;sTunings|sDeltaMaxKHR;Уставка вкл. компенсации расхода через КХР (млн.нм3/сут)
sDeltaDelayKHR;REAL;sTunings|sDeltaDelayKHR;Задержка включения компенсации расхода через КХР
sDeltaDzKHR;REAL;sTunings|sDeltaDzKHR;Уставка отключения компенсации расхода через КХР
sDZPin;REAL;sTunings|sDZPin;DZ регулятора Рвх
sKpPin;REAL;sTunings|sKpPin;Кр регулятора Рвх
sDZPout;REAL;sTunings|sDZPout;DZ регулятора Рвых
sKpPout;REAL;sTunings|sKpPout;Кр регулятора Рвых
sDZE;REAL;sTunings|sDZE;DZ регулятора ст.сж
sKpE;REAL;sTunings|sKpE;Кр регулятора ст.сж
sDZQ;REAL;sTunings|sDZQ;DZ регулятора расхода
sKpQ;REAL;sTunings|sKpQ;Кр регулятора расхода
sLLimKHR;REAL;sTunings|sLLimKHR;Максимальная степень закрытия КХР
spPoutMin_delta;REAL;sTunings|spPoutMin_delta;Динамическая уставка ограничения Рвых. мин. ЦР
spPoutMax_delta;REAL;sTunings|spPoutMax_delta;Динамическая уставка ограничения Рвых. макс. ЦР
sUpDZPout;REAL;sTunings|sUpDZPout;DZ верхняя ограничения Рвых. ЦР
sDownDZPout;REAL;sTunings|sDownDZPout;DZ нижняя ограничения Рвых ЦР
sKpLimNPout;REAL;sTunings|sKpLimNPout;Кр контура ограничения Рвых. ЦР
sUpDZPin;REAL;sTunings|sUpDZPin;DZ верхняя ограничения Рвх. ЦР
sDownDZPin;REAL;sTunings|sDownDZPin;DZ нижняя ограничения Рвх. ЦР
sKpLimNPin;REAL;sTunings|sKpLimNPin;Кр контура ограничения Рвх ЦР
sUpDZE;REAL;sTunings|sUpDZE;DZ верхняя ограничения ст. сж. макс. ЦР
sDownDZE;REAL;sTunings|sDownDZE;DZ нижняя ограничения ст. сж. ЦР
sKpLimNE;REAL;sTunings|sKpLimNE;Кр контура ограничения ст. сж. ЦР
spPoutMin_delta2;REAL;sTunings|spPoutMin_delta2;Динамическая уставка ограничения Рвых. мин. КХР
spPoutMax_delta2;REAL;sTunings|spPoutMax_delta2;Динамическая уставка ограничения Рвых. макс. КХР
sDeclinePout2;REAL;sTunings|sDeclinePout2;Отклонение от уставки ограничения Рвых. макс. КХР
sDZPout2;REAL;sTunings|sDZPout2;DZ ограничения Рвых. КХР
sKpLimKHRPout;REAL;sTunings|sKpLimKHRPout;Кр контура ограничения Рвых. КХР
sTiLimKHRPout;REAL;sTunings|sTiLimKHRPout;Ти контура ограничения Рвых. КХР
sTdLimKHRPout;REAL;sTunings|sTdLimKHRPout;Тд контура ограничения Рвых. КХР
sDeclinePin2;REAL;sTunings|sDeclinePin2;Отклонение от уставки ограничения Рвх. мин. КХР
sDZPin2;REAL;sTunings|sDZPin2;DZ ограничения Рвх. КХР
sKpLimKHRPin;REAL;sTunings|sKpLimKHRPin;Кр контура ограничения Рвх. КХР
sTiLimKHRPin;REAL;sTunings|sTiLimKHRPin;Ти контура ограничения Рвх. КХР
sTdLimKHRPin;REAL;sTunings|sTdLimKHRPin;Тд контура ограничения Рвх. КХР
sDeclineE2;REAL;sTunings|sDeclineE2;Отклонение от уставки ограничения ст. сж. макс. КХР
sDZE2;REAL;sTunings|sDZE2;DZ ограничения ст. сж. КХР
sKpLimKHRE;REAL;sTunings|sKpLimKHRE;Кр контура ограничения ст. сж. КХР
sTiLimKHRE;REAL;sTunings|sTiLimKHRE;Ти контура ограничения ст. сж. КХР
sTdLimKHRE;REAL;sTunings|sTdLimKHRE;Тд контура ограничения ст. сж. КХР
sDeclineSurgeRes;REAL;sTunings|sDeclineSurgeRes;Отклонение от уставки ограничения мин. ПЗ
sDZSurgeRes;REAL;sTunings|sDZSurgeRes;DZ ограничения ПЗ
sKpLimKHRSR;REAL;sTunings|sKpLimKHRSR;Кр контура ограничения ПЗ
sTiLimKHRSR;REAL;sTunings|sTiLimKHRSR;Ти контура ограничения ПЗ
sTdLimKHRSR;REAL;sTunings|sTdLimKHRSR;Тд контура ограничения ПЗ
sUpDZPoutReload;REAL;sTunings|sUpDZPoutReload;DZ верхняя регулятора Рвых. КХР при перезагрузке
sDownDZPoutReload;REAL;sTunings|sDownDZPoutReload;DZ нижняя регулятора Рвых. КХР при перезагрузке
sKpKHRPoutReload;REAL;sTunings|sKpReloadKHRPout;Кр контура регулирования Рвых. КХР при перезагрузке
sTiKHRPoutReload;REAL;sTunings|sTiReloadKHRPout;Ти контура регулирования Рвых. КХР при перезагрузке
sTdKHRPoutReload;REAL;sTunings|sTdReloadKHRPout;Тд контура регулирования Рвых. КХР при перезагрузке
sUpDZPoutLoad;REAL;sTunings|sUpDZPoutLoad;DZ верхняя регулятора Рвых. КХР при загрузке
sDownDZPoutLoad;REAL;sTunings|sDownDZPoutLoad;DZ нижняя регулятора Рвых. КХР при загрузке
sKpLoadKHRPout;REAL;sTunings|sKpLoadKHRPout;Кр контура регулирования Рвых. КХР при загрузке цеха
sTiLoadKHRPout;REAL;sTunings|sTiLoadKHRPout;Ти контура регулирования Рвых. КХР при загрузке цеха
sTdLoadKHRPout;REAL;sTunings|sTdLoadKHRPout;Тд контура регулирования Рвых. КХР при загрузке цеха
sPoutZone;REAL;sTunings|sPoutZone;Зона высокого Рвых цеха
sPinZone;REAL;sTunings|sPinZone;Зона низкого Рвх цеха
sEZone;REAL;sTunings|sEZone;Зона высокой степени сжатия цеха
sSurResZone;REAL;sTunings|sSurResZone;Зона низкого ПЗ цеха
sDZmul;REAL;sTunings|sDZmul;Множитель смещения DZ цехового регулятора
sPin_source;INT;sTunings|sPin_source;Выбор источника Рвх (0-датчик,1-ср. от ГПА)
sPout_source;INT;sTunings|sPout_source;Выбор источника Рвых (0-датчик,1-ср. от ГПА)
sQ_source;INT;sTunings|sQ_source;Выбор источника Q (0-датчик,1-от ГПА)
